Category,Name,Variant Name,Price,URL
b'Necklace',b'Classicworks\xe2\x84\xa2 G - Recycled Sterling Silver Necklace',b'',b'125.00',b'https://completedworks.com//products/classicworks-g-recycled-sterling-silver-necklace'
b'',b'Solitude / Vessel in Blush',b'',b'95.00',b'https://completedworks.com//products/solitude-shortened-vessel-in-pink'
b'Necklace',b'Classicworks\xe2\x84\xa2 F - Recycled Sterling Silver Necklace',b'',b'125.00',b'https://completedworks.com//products/classicworks-f-recycled-sterling-silver-necklace'
b'Necklace',b'Classicworks\xe2\x84\xa2 E - Recycled Sterling Silver Necklace',b'',b'125.00',b'https://completedworks.com//products/classicworks-e-recycled-sterling-silver-necklace'
b'Necklace',b'Classicworks\xe2\x84\xa2 D - Recycled Sterling Silver Necklace',b'',b'125.00',b'https://completedworks.com//products/classicworks-d-recycled-sterling-silver-necklace'
b'Necklace',b'Classicworks\xe2\x84\xa2 C - Recycled Sterling Silver Necklace',b'',b'125.00',b'https://completedworks.com//products/classicworks-c-recycled-sterling-silver-necklace'
b'Necklace',b'Classicworks\xe2\x84\xa2 B - Recycled Sterling Silver Necklace',b'',b'125.00',b'https://completedworks.com//products/classicworks-b-recycled-sterling-silver-necklace'
b'Necklace',b'Classicworks\xe2\x84\xa2 A - Recycled Sterling Silver Necklace',b'',b'125.00',b'https://completedworks.com//products/classicworks-a-recycled-sterling-silver-necklace'
b'Necklace',"b""Who's in Charge? - Pearl and Gold Vermeil Bracelet""",b'',b'395.00',b'https://completedworks.com//products/copy-of-whos-in-charge-pearl-and-gold-vermeil-necklace'
b'Earrings',"b'Crumple - Recycled Sterling Silver, Pearl and Ceramic Earrings'",b'',b'295.00',b'https://completedworks.com//products/crumple-recycled-sterling-silver-pearl-and-ceramic-earrings'
b'Earrings',b'Unfolded - Recycled Sterling Silver Earrings',b'',b'165.00',b'https://completedworks.com//products/unfolded-recycled-sterling-silver-earrings'
b'Earrings',b'Cohesion - Recycled Sterling Silver Earrings',b'',b'250.00',b'https://completedworks.com//products/cohesion-recycled-sterling-silver-earrings'
b'Earrings',b'Tra-la-la - Gold Vermeil and Pearl Earrings',b'',b'235.00',b'https://completedworks.com//products/tra-la-la-gold-vermeil-and-pearl-earrings'
b'Earrings',b'Cove - Freshwater Pearl Earrings',b'',b'315.00',b'https://completedworks.com//products/cove-freshwater-pearl-earrings'
b'Necklace',"b""Who's in Charge? - Pearl and Gold Vermeil Necklace""",b'',b'625.00',b'https://completedworks.com//products/whos-in-charge-pearl-and-gold-vermeil-necklace'
b'Earrings',b'Present Absence - Gold Vermeil Ear Climber',b'',b'215.00',b'https://completedworks.com//products/present-absence-gold-vermeil-ear-climber'
b'Earrings',b'In the Midst of Things - Gold Vermeil and White Topaz Ear Cuff',b'',b'255.00',b'https://completedworks.com//products/in-the-midst-of-things-gold-vermeil-earrings'
b'Earrings',b'Why Am I Here and Not Somewhere Else - Gold Vermeil Ear Cuff',b'',b'245.00',b'https://completedworks.com//products/why-am-i-here-and-not-somewhere-else-gold-vermeil-ear-cuff'
b'Earrings',b'Thread - Sterling Silver Earrings',b'',b'195.00',b'https://completedworks.com//products/thread-sterling-silver-earrings'
b'Hair Accessories',b'The Lure of Civilisation II - Gold Vermeil Hair Pin',b'',b'195.00',b'https://completedworks.com//products/the-lure-of-civilisation-ii-silver-hair-pin'
b'Earrings',b'Thread - Gold Vermeil Earrings',b'',b'195.00',b'https://completedworks.com//products/thread-gold-vermeil-earrings'
b'Earrings',b'Manifold - Gold Vermeil Hoop Ear Cuff',b'',b'345.00',b'https://completedworks.com//products/manifold-gold-vermeil-hoop-ear-cuff'
b'Earrings',b'Domain - Gold Vermeil Hoop Ear Cuff',b'',b'315.00',b'https://completedworks.com//products/domain-gold-vermeil-hoop-ear-cuff'
b'',b'Fruit Bowl',b'',b'195.00',b'https://completedworks.com//products/fruit-bowl'
b'Earrings',b'Domain - Gold Vermeil Hoop Earrings',b'',b'535.00',b'https://completedworks.com//products/domain-gold-vermeil-hoop-earrings'
b'Earrings',b'Manifold - Gold Vermeil Hoop Earrings',b'',b'585.00',b'https://completedworks.com//products/manifold-gold-vermeil-hoop-earrings'
b'Rings',b'The Murmur of False Idols - Gold Vermeil Ring',b'Small - In stock',b'435.00',b'https://completedworks.com//products/the-murmur-of-false-idols-gold-vermeil-ring'
